도서관명,도서관홈페이지,도서관이미지,도서관주소
건지도서관,https://lib.jeonju.go.kr/index.jeonju?menuCd=DOM_000000107003002052&cpath=,https://lib.jeonju.go.kr/images/book/sub/sub06/library_view11.jpg,전북특별자치도 전주시 덕진구 호성로 25(호성동1가)
금암도서관,https://lib.jeonju.go.kr/index.jeonju?menuCd=DOM_000000107003002036&cpath=,https://lib.jeonju.go.kr/upload_data/board_data/BBS_0000013/164870627822116.jpg,전북특별자치도 전주시 덕진구 거북바우로 13(금암동)
삼천도서관,https://lib.jeonju.go.kr/index.jeonju?menuCd=DOM_000000107003002016&cpath=,https://lib.jeonju.go.kr/upload_data/board_data/BBS_0000013/161191094056752.gif,전북특별자치도 전주시 완산구 용리로 107 (삼천동1가)
서신도서관,https://lib.jeonju.go.kr/index.jeonju?menuCd=DOM_000000107003002020&cpath=,https://lib.jeonju.go.kr/images/book/sub/sub06/library_view03.jpg,전북특별자치도 전주시 완산구 서신천변14길 10 (서신동)
송천도서관,https://lib.jeonju.go.kr/index.jeonju?menuCd=DOM_000000107003002032&cpath=,https://lib.jeonju.go.kr/upload_data/board_data/BBS_0000013/166173325491064.png,전북특별자치도 전주시 덕진구 솔내로 212(송천동2가)
아중도서관,https://lib.jeonju.go.kr/index.jeonju?menuCd=DOM_000000107003002044&cpath=,https://lib.jeonju.go.kr/upload_data/board_data/BBS_0000013/175809528263705.jpg,전북특별자치도 전주시 덕진구 무삼지2길 7(인후동1가)
완산도서관,https://lib.jeonju.go.kr/index.jeonju?menuCd=DOM_000000107003002012&cpath=,https://lib.jeonju.go.kr/upload_data/board_data/BBS_0000013/172973730330177.jpg,전북특별자치도 전주시 완산구 곤지산4길 12(동완산동)
인후도서관,https://lib.jeonju.go.kr/index.jeonju?menuCd=DOM_000000107003002040&cpath=,https://lib.jeonju.go.kr/upload_data/board_data/BBS_0000013/165103836583940.jpg,전북특별자치도 전주시 덕진구 안덕원로 349(인후동1가)
전주시립도서관꽃심,https://lib.jeonju.go.kr/index.jeonju?menuCd=DOM_000000107003002058&cpath=,https://lib.jeonju.go.kr/upload_data/board_data/BBS_0000013/157621745911755.jpg,전북특별자치도 전주시 완산구 백제대로 306(중화산동)
쪽구름도서관,https://lib.jeonju.go.kr/index.jeonju?menuCd=DOM_000000107003002048&cpath=,https://lib.jeonju.go.kr/images/book/sub/sub06/library_view10.jpg,전북특별자치도 전주시 덕진구 여암2길 9(반월동)
평화도서관,https://lib.jeonju.go.kr/index.jeonju?menuCd=DOM_000000107003002024&cpath=,https://lib.jeonju.go.kr/upload_data/board_data/BBS_0000013/157845022413196.jpg,전북특별자치도 전주시 완산구 평화14길 27-51(평화동2가)
효자도서관,https://lib.jeonju.go.kr/index.jeonju?menuCd=DOM_000000107003002028&cpath=,https://lib.jeonju.go.kr/images/book/sub/sub06/library_view05.jpg,전북특별자치도 전주시 완산구 우전로 181(효자동2가)
